timestamps,open,high,low,close,volume
1643034600,160.02000427246094,160.1999969482422,159.10000610351562,160.19000244140625,8828767
1643034660,160.19000244140625,160.72000122070312,159.8300018310547,160.47000122070312,694535
1643034720,160.5,161.0800018310547,160.1999969482422,160.2209930419922,834603
1643034780,160.25999450683594,160.36000061035156,159.82000732421875,160.25,687371
1643034840,160.1999969482422,160.22000122070312,159.63999938964844,160.0749969482422,711804
1643034900,160.08999633789062,160.52000427246094,159.9705047607422,160.02999877929688,625151
1643034960,160.0399932861328,160.42999267578125,159.85000610351562,160.3699951171875,608450
1643035020,160.3699951171875,160.72000122070312,160.22000122070312,160.27999877929688,677229
1643035080,160.27000427246094,160.6199951171875,160.0500030517578,160.4199981689453,566319
1643035140,160.39999389648438,160.7100067138672,160.14999389648438,160.67999267578125,526009
1643035200,160.69000244140625,160.85499572753906,160.24000549316406,160.24000549316406,612732
1643035260,160.2100067138672,160.27999877929688,159.94000244140625,160.1750030517578,624538
1643035320,160.18299865722656,160.2100067138672,159.8000030517578,159.85000610351562,529411
1643035380,159.85000610351562,159.88999938964844,159.5,159.5,493162
1643035440,159.52000427246094,159.60000610351562,159.38499450683594,159.47970581054688,498447
1643035500,159.4600067138672,159.60000610351562,159.3000030517578,159.52999877929688,554680
1643035560,159.52000427246094,160.1300048828125,159.49099731445312,159.85989379882812,684863
1643035620,159.85499572753906,160.02000427246094,159.6999969482422,160.00010681152344,378320
1643035680,159.99099731445312,160.0500030517578,159.77000427246094,159.8699951171875,1990456
1643035740,159.85000610351562,160.13999938964844,159.72000122070312,159.87840270996094,423305
1643035800,159.86000061035156,159.8800048828125,159.52999877929688,159.55999755859375,361722
1643035860,159.5500030517578,159.80999755859375,159.2100067138672,159.35000610351562,578329
1643035920,159.3300018310547,159.5800018310547,159.27999877929688,159.36000061035156,502560
1643035980,159.36000061035156,159.86000061035156,159.3000030517578,159.8300018310547,584955
1643036040,159.80999755859375,160.08999633789062,159.64100646972656,159.75,665909
1643036100,159.74000549316406,160.22999572753906,159.52000427246094,160.13999938964844,609541
1643036160,160.14999389648438,160.3800048828125,159.83999633789062,159.83999633789062,609347
1643036220,159.80999755859375,159.99000549316406,159.6219024658203,159.92999267578125,442039
1643036280,159.92999267578125,160.02999877929688,159.56190490722656,159.64999389648438,323590
1643036340,159.64500427246094,159.77999877929688,159.27000427246094,159.27999877929688,507352
1643036400,159.2899932861328,160.1302947998047,159.27000427246094,159.72000122070312,536680
1643036460,159.72000122070312,159.82000732421875,159.52000427246094,159.74000549316406,316480
1643036520,159.75999450683594,159.91000366210938,159.5800018310547,159.75,312099
1643036580,159.74000549316406,159.94000244140625,159.44000244140625,159.75689697265625,390398
1643036640,159.7519989013672,159.83999633789062,159.32000732421875,159.44000244140625,293767
1643036700,159.42999267578125,159.52499389648438,159.10000610351562,159.3800048828125,530154
1643036760,159.3800048828125,159.7100067138672,159.28359985351562,159.47999572753906,423271
1643036820,159.4499969482422,159.6999969482422,159.4199981689453,159.60350036621094,335738
1643036880,159.5904998779297,159.5904998779297,159.1699981689453,159.31500244140625,321275
1643036940,159.2949981689453,159.35000610351562,158.58999633789062,158.60000610351562,858402
1643037000,158.58999633789062,158.72999572753906,158.39999389648438,158.5800018310547,575977
1643037060,158.58999633789062,158.9600067138672,158.33999633789062,158.75010681152344,593023
1643037120,158.77000427246094,159.08999633789062,158.67999267578125,158.77000427246094,460194
1643037180,158.77000427246094,158.97999572753906,158.72000122070312,158.9499969482422,390426
1643037240,158.9600067138672,159.1699981689453,158.72999572753906,159.1199951171875,431628
1643037300,159.0800018310547,159.1999969482422,158.6699981689453,158.77999877929688,375077
1643037360,158.76499938964844,158.88999938964844,158.49000549316406,158.72000122070312,554791
1643037420,158.74000549316406,158.99000549316406,158.3699951171875,158.55999755859375,476129
1643037480,158.52999877929688,158.5800018310547,158.32000732421875,158.39999389648438,309414
1643037540,158.38999938964844,158.55999755859375,158.0800018310547,158.10899353027344,443956
1643037600,158.11000061035156,158.44000244140625,158.08999633789062,158.27999877929688,486634
1643037660,158.27999877929688,158.3699951171875,158.14999389648438,158.22999572753906,492631
1643037720,158.2100067138672,158.47000122070312,158.07000732421875,158.27999877929688,430034
1643037780,158.3000030517578,158.60000610351562,158.27999877929688,158.60000610351562,417717
1643037840,158.58999633789062,159.10000610351562,158.52999877929688,159.0800018310547,648622
1643037900,159.05999755859375,159.14999389648438,158.9499969482422,159.1199951171875,393752
1643037960,159.11000061035156,159.1199951171875,158.72000122070312,158.8000030517578,304073
1643038020,158.78289794921875,159.33999633789062,158.76499938964844,159.24000549316406,403543
1643038080,159.22000122070312,159.30999755859375,159.0500946044922,159.09500122070312,317606
1643038140,159.10000610351562,159.16000366210938,158.7899932861328,158.89999389648438,441143
1643038200,158.90029907226562,159.218505859375,158.83999633789062,159.06109619140625,335020
1643038260,159.0500030517578,159.39999389648438,158.89999389648438,158.89999389648438,397541
1643038320,158.88999938964844,159.11000061035156,158.8249969482422,158.94000244140625,340247
1643038380,158.92999267578125,159.17999267578125,158.75,158.82000732421875,299543
1643038440,158.80999755859375,159.1300048828125,158.77999877929688,159.0,269532
1643038500,159.0,159.1699981689453,158.82000732421875,159.1699981689453,462265
1643038560,159.17010498046875,159.29229736328125,158.85000610351562,159.0200958251953,402209
1643038620,159.02000427246094,159.30999755859375,158.93280029296875,159.1999969482422,350087
1643038680,159.17999267578125,159.19000244140625,158.77000427246094,158.82369995117188,322423
1643038740,158.8249969482422,158.85000610351562,158.52499389648438,158.52499389648438,367023
1643038800,158.52999877929688,158.55999755859375,158.3000030517578,158.3300018310547,289021
1643038860,158.3300018310547,158.61900329589844,158.19000244140625,158.1999969482422,397698
1643038920,158.19000244140625,158.3699951171875,158.14999389648438,158.32000732421875,302214
1643038980,158.30999755859375,158.69000244140625,158.25999450683594,158.61000061035156,283625
1643039040,158.58999633789062,159.10000610351562,158.57000732421875,159.05999755859375,332072
1643039100,159.05999755859375,159.1199951171875,158.47000122070312,158.48500061035156,344269
1643039160,158.47000122070312,158.5399932861328,158.3000030517578,158.32000732421875,308779
1643039220,158.3000030517578,158.36000061035156,158.05999755859375,158.1199951171875,356915
1643039280,158.1199951171875,158.16000366210938,157.63999938964844,157.64999389648438,853118
1643039340,157.6580047607422,158.19000244140625,157.64999389648438,158.1300048828125,406835
1643039400,158.125,158.38999938964844,157.9600067138672,158.25,272502
1643039460,158.25999450683594,158.30999755859375,157.9600067138672,158.1300048828125,199725
1643039520,158.1300048828125,158.2949981689453,157.97999572753906,158.16000366210938,206029
1643039580,158.13999938964844,158.63999938964844,158.1320037841797,158.6199951171875,261727
1643039640,158.6300048828125,158.93690490722656,158.5399932861328,158.91000366210938,304461
1643039700,158.91000366210938,158.97000122070312,158.75,158.797607421875,260589
1643039760,158.77999877929688,158.8699951171875,158.5,158.6699981689453,262834
1643039820,158.66000366210938,159.00999450683594,158.58990478515625,158.76499938964844,306842
1643039880,158.75999450683594,158.92999267578125,158.45350646972656,158.52000427246094,263920
1643039940,158.52000427246094,158.52000427246094,158.27000427246094,158.4600067138672,347595
1643040000,158.47000122070312,158.47000122070312,158.0399932861328,158.1199951171875,377982
1643040060,158.11000061035156,158.27000427246094,157.99000549316406,158.10910034179688,329389
1643040120,158.10000610351562,158.30999755859375,158.05999755859375,158.19400024414062,271492
1643040180,158.17999267578125,158.35000610351562,158.1699981689453,158.2899932861328,260039
1643040240,158.27999877929688,158.36000061035156,158.08999633789062,158.13499450683594,240953
1643040300,158.1300048828125,158.14999389648438,157.8468017578125,157.9499969482422,321381
1643040360,157.94000244140625,158.2100067138672,157.8699951171875,158.0500030517578,238399
1643040420,158.0500030517578,158.1300048828125,157.80999755859375,157.8800048828125,439989
1643040480,157.8699951171875,158.72000122070312,157.85000610351562,158.16000366210938,295124
1643040540,158.14999389648438,158.2100067138672,157.83999633789062,157.8800048828125,270662
